method_variant,episode,time_step,state,q_target,q_mixed,gap_scores,visits,critical
Uniform-Equal-H,19,2,"[1, 2, -2, 13, 0, 0, 1, 0, 3, 0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.1, 0.8, 0.1]","[0, 1, 0]",False
Uniform-Equal-H,19,3,"[1, 2, -2, 13, 0, 0, 1, 0, 4, 0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.1, 0.8, 0.1]","[1, 0, 0]",False
Uniform-Equal-H,19,4,"[1, 2, -2, 13, 0, 0, 1, 1, 5, 0]","[0.0, 0.0, 0.0]","[0.0, 0.09941037495930989, 0.14711446762084962]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1, 0, 0]",True
Uniform-Equal-H,19,5,"[1, 1, -2, 13, 0, -1, 0, 1, 6, 0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.1, 0.8, 0.1]","[0, 1, 0]",False
Uniform-Equal-H,20,0,"[1, 2, 0, 12, 0, 0, 1, 0, 0, 0]","[0.0, 0.0, 0.0]","[3.851690180102984e-05, 9.929830272992452e-06, 5.911509195963544e-09]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0, 0, 2]",True
Uniform-Equal-H,20,1,"[1, 2, 1, 13, 0, 0, 1, 0, 1, 0]","[0.0, 0.0, 0.0]","[0.0, 6.042480468750002e-07, 5.068918267885846e-06]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1, 1, 0]",True
Uniform-Equal-H,20,2,"[1, 2, 0, 13, 0, 0, 1, 0, 2, 0]","[0.0, 0.0, 0.0]","[0.0003741040547688803, 0.002620569596191248, 0.001492952991059671]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[2, 0, 1]",True
Uniform-Equal-H,20,3,"[1, 2, 0, 13, 0, 0, 1, 0, 3, 0]","[0.0, 0.0, 0.0]","[0.011285094118677081, 0.010556428584580621, 0.006897487322489422]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1, 2, 0]",True
Uniform-Equal-H,20,4,"[1, 2, 0, 13, 0, 0, 1, 0, 4, 0]","[0.0, 0.00015625000000000003, 0.0]","[0.056253888079275685, 0.05097099049016833, 0.04160521189371745]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0, 2, 1]",True
Uniform-Equal-H,20,5,"[1, 2, 0, 13, 0, 0, 1, 1, 5, 0]","[0.00625, 0.0, 0.05625]","[0.2696785635392492, 0.1067137859451274, 0.1878327362239361]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1, 1, 1]",True
