repeat,random_seed,protocol,variant,target_sut,executions,collisions,critical_events,first_collision_budget,first_collision_censored,invalid_executions,empty_filters,candidate_attempts,precheck_passed,unique_candidates,sem_above_threshold,duplicate_executions,duplicate_execution_ratio,simulation_seconds,simulation_wall_seconds,candidate_generation_seconds,sem_inference_seconds,collisions_per_simulation_minute,wall_seconds
1,20260918,paper_nm,2SMS+SEM-H,SUT-E,20,19,20,1,False,0,0,1900,1900,1900,508,0,0.0,37.80000000000001,1.7040947000059532,0.09432050003670156,0.563543300042511,30.158730158730148,2.6180136000039056
1,20260918,matched_nm100,RMS-H,SUT-E,20,4,6,6,False,0,0,800,800,800,0,0,0.0,119.00000000000001,4.729524000038509,0.037151800002902746,1.6999983927235007e-05,2.016806722689075,4.9734865999926114
1,20260918,matched_nm100,2SMS-H,SUT-E,20,2,6,1,False,0,0,800,800,800,0,0,0.0,129.20000000000005,5.22645710001234,0.045137199995224364,3.5999983083456755e-06,0.9287925696594423,5.481012400006875
1,20260918,matched_nm100,RMS+SEM-H,SUT-E,20,17,20,1,False,0,0,1800,1800,1800,485,0,0.0,49.40000000000002,2.2360034999874188,0.09237949995440431,0.5817455000069458,20.64777327935222,3.1527482999954373
1,20260918,matched_nm100,2SMS+SEM-H,SUT-E,20,18,20,1,False,0,0,1800,1800,1800,492,0,0.0,43.80000000000001,2.009031600013259,0.0925050999794621,0.6120545000012498,24.657534246575334,2.976007599994773
2,20260919,paper_nm,RMS-H,SUT-E,20,2,3,7,False,0,0,24,24,24,0,0,0.0,129.20000000000002,5.480423700006213,0.002022100015892647,2.3999891709536314e-06,0.9287925696594426,5.69160190000548
2,20260919,paper_nm,2SMS-H,SUT-E,20,1,2,10,False,0,0,24,24,24,0,0,0.0,134.40000000000003,5.636860999991768,0.0016157999925781041,2.7000060072168708e-06,0.4464285714285713,5.833505600006902
2,20260919,paper_nm,RMS+SEM-H,SUT-E,20,20,20,1,False,0,0,2000,2000,2000,566,0,0.0,32.60000000000001,1.6594853999995394,0.08693370001856238,0.59118290002516,36.80981595092024,2.6072841999994125
2,20260919,paper_nm,2SMS+SEM-H,SUT-E,20,20,20,1,False,0,0,2000,2000,2000,553,0,0.0,32.60000000000001,1.5371420000301441,0.10086999999475665,0.6118400999112055,36.80981595092024,2.5105240999982925
2,20260919,matched_nm100,RMS-H,SUT-E,20,2,2,18,False,0,0,800,800,800,0,0,0.0,129.60000000000002,5.454566399974283,0.042335299993283115,1.680002606008202e-05,0.9259259259259257,5.716925999993691
2,20260919,matched_nm100,2SMS-H,SUT-E,20,1,7,11,False,0,0,700,700,700,0,0,0.0,134.40000000000003,5.6853057999687735,0.03144020000763703,2.700020559132099e-06,0.4464285714285713,5.942851099986001
2,20260919,matched_nm100,RMS+SEM-H,SUT-E,20,18,20,1,False,0,0,1800,1800,1800,507,0,0.0,44.000000000000014,1.9467168000264792,0.0835310999682406,0.5545637999748578,24.545454545454536,2.840608800004702
2,20260919,matched_nm100,2SMS+SEM-H,SUT-E,20,18,19,1,False,0,0,1900,1900,1900,540,0,0.0,45.000000000000014,1.9983945999847492,0.08779209999192972,0.5845492999796988,23.999999999999993,2.9210561999934725
