method,target_sut,repeat,mode,queries,critical_events_found,critical_events_available,critical_recall_at_50
Random,SUT-B,2,slow_lead_following,10,0,4,0.0
Random,SUT-B,3,fast_intrusion,5,0,6,0.0
Random,SUT-B,3,cutin_braking,10,3,7,0.42857142857142855
Random,SUT-B,3,lead_braking,8,1,4,0.25
Random,SUT-B,3,stop_and_go,16,3,6,0.5
Random,SUT-B,3,slow_lead_following,11,1,4,0.25
Random,SUT-B,4,fast_intrusion,10,1,6,0.16666666666666666
Random,SUT-B,4,cutin_braking,12,1,7,0.14285714285714285
Random,SUT-B,4,lead_braking,10,0,4,0.0
Random,SUT-B,4,stop_and_go,11,0,6,0.0
Random,SUT-B,4,slow_lead_following,7,0,4,0.0
Random,SUT-B,5,fast_intrusion,7,1,6,0.16666666666666666
Random,SUT-B,5,cutin_braking,12,1,7,0.14285714285714285
Random,SUT-B,5,lead_braking,12,3,4,0.75
Random,SUT-B,5,stop_and_go,9,1,6,0.16666666666666666
Random,SUT-B,5,slow_lead_following,10,0,4,0.0
Random,SUT-B,6,fast_intrusion,14,1,6,0.16666666666666666
Random,SUT-B,6,cutin_braking,11,1,7,0.14285714285714285
Random,SUT-B,6,lead_braking,10,0,4,0.0
Random,SUT-B,6,stop_and_go,6,1,6,0.16666666666666666
Random,SUT-B,6,slow_lead_following,9,1,4,0.25
Random,SUT-B,7,fast_intrusion,10,0,6,0.0
Random,SUT-B,7,cutin_braking,10,1,7,0.14285714285714285
Random,SUT-B,7,lead_braking,13,1,4,0.25
Random,SUT-B,7,stop_and_go,11,2,6,0.3333333333333333
Random,SUT-B,7,slow_lead_following,6,0,4,0.0
Random,SUT-B,8,fast_intrusion,7,3,6,0.5
Random,SUT-B,8,cutin_braking,11,1,7,0.14285714285714285
Random,SUT-B,8,lead_braking,8,1,4,0.25
Random,SUT-B,8,stop_and_go,10,0,6,0.0
Random,SUT-B,8,slow_lead_following,14,0,4,0.0
Random,SUT-B,9,fast_intrusion,10,1,6,0.16666666666666666
Random,SUT-B,9,cutin_braking,12,3,7,0.42857142857142855
Random,SUT-B,9,lead_braking,10,1,4,0.25
Random,SUT-B,9,stop_and_go,9,1,6,0.16666666666666666
Random,SUT-B,9,slow_lead_following,9,0,4,0.0
Random,SUT-B,10,fast_intrusion,12,0,6,0.0
Random,SUT-B,10,cutin_braking,11,1,7,0.14285714285714285
Random,SUT-B,10,lead_braking,9,1,4,0.25
Random,SUT-B,10,stop_and_go,10,0,6,0.0
Random,SUT-B,10,slow_lead_following,8,0,4,0.0
Random,SUT-B,11,fast_intrusion,9,1,6,0.16666666666666666
Random,SUT-B,11,cutin_braking,10,1,7,0.14285714285714285
Random,SUT-B,11,lead_braking,10,0,4,0.0
Random,SUT-B,11,stop_and_go,11,1,6,0.16666666666666666
Random,SUT-B,11,slow_lead_following,10,0,4,0.0
Random,SUT-B,12,fast_intrusion,11,3,6,0.5
Random,SUT-B,12,cutin_braking,8,1,7,0.14285714285714285
Random,SUT-B,12,lead_braking,10,0,4,0.0
Random,SUT-B,12,stop_and_go,11,2,6,0.3333333333333333
Random,SUT-B,12,slow_lead_following,10,0,4,0.0
Random,SUT-B,13,fast_intrusion,13,3,6,0.5
Random,SUT-B,13,cutin_braking,9,1,7,0.14285714285714285
Random,SUT-B,13,lead_braking,7,1,4,0.25
Random,SUT-B,13,stop_and_go,9,1,6,0.16666666666666666
Random,SUT-B,13,slow_lead_following,12,0,4,0.0
Random,SUT-B,14,fast_intrusion,14,2,6,0.3333333333333333
Random,SUT-B,14,cutin_braking,12,1,7,0.14285714285714285
Random,SUT-B,14,lead_braking,4,1,4,0.25
Random,SUT-B,14,stop_and_go,12,1,6,0.16666666666666666
Random,SUT-B,14,slow_lead_following,8,1,4,0.25
Random,SUT-B,15,fast_intrusion,9,1,6,0.16666666666666666
Random,SUT-B,15,cutin_braking,12,2,7,0.2857142857142857
Random,SUT-B,15,lead_braking,7,1,4,0.25
Random,SUT-B,15,stop_and_go,13,2,6,0.3333333333333333
Random,SUT-B,15,slow_lead_following,9,1,4,0.25
Random,SUT-B,16,fast_intrusion,12,3,6,0.5
Random,SUT-B,16,cutin_braking,11,2,7,0.2857142857142857
Random,SUT-B,16,lead_braking,9,2,4,0.5
Random,SUT-B,16,stop_and_go,5,1,6,0.16666666666666666
Random,SUT-B,16,slow_lead_following,13,0,4,0.0
Random,SUT-B,17,fast_intrusion,11,2,6,0.3333333333333333
Random,SUT-B,17,cutin_braking,11,1,7,0.14285714285714285
Random,SUT-B,17,lead_braking,12,0,4,0.0
Random,SUT-B,17,stop_and_go,6,0,6,0.0
Random,SUT-B,17,slow_lead_following,10,0,4,0.0
Random,SUT-B,18,fast_intrusion,6,1,6,0.16666666666666666
Random,SUT-B,18,cutin_braking,7,1,7,0.14285714285714285
Random,SUT-B,18,lead_braking,10,3,4,0.75
Random,SUT-B,18,stop_and_go,15,0,6,0.0
Random,SUT-B,18,slow_lead_following,12,1,4,0.25
Random,SUT-B,19,fast_intrusion,10,3,6,0.5
Random,SUT-B,19,cutin_braking,12,4,7,0.5714285714285714
Random,SUT-B,19,lead_braking,11,0,4,0.0
Random,SUT-B,19,stop_and_go,8,2,6,0.3333333333333333
Random,SUT-B,19,slow_lead_following,9,2,4,0.5
DETOUR Hierarchy (K=0),SUT-C,0,fast_intrusion,22,12,12,1.0
DETOUR Hierarchy (K=0),SUT-C,0,cutin_braking,8,6,16,0.375
DETOUR Hierarchy (K=0),SUT-C,0,lead_braking,3,3,14,0.21428571428571427
DETOUR Hierarchy (K=0),SUT-C,0,stop_and_go,4,2,13,0.15384615384615385
