seed,target_sut,coverage,heterogeneity,noise_scale,step,index,event_probability,predicted_severity
20261103,Target-exact-full-2,exact,full,0.3,12,288,1.0,0.9020941947027548
20261103,Target-exact-full-2,exact,full,0.3,13,272,1.0,0.9060774347348876
20261103,Target-exact-full-2,exact,full,0.3,14,526,1.0,0.8946608473752136
20261103,Target-exact-full-2,exact,full,0.3,15,389,1.0,0.8792490381054516
20261103,Target-exact-full-2,exact,full,0.3,16,518,1.0,0.8690497176260223
20261103,Target-exact-full-2,exact,full,0.3,17,393,1.0,0.8673510176967946
20261103,Target-exact-full-2,exact,full,0.3,18,387,1.0,0.8500000000000001
20261103,Target-exact-full-2,exact,full,0.3,19,395,1.0,0.8500000000000001
20261103,Target-exact-full-2,exact,full,0.3,20,286,1.0,0.85
20261103,Target-exact-full-2,exact,full,0.3,21,294,1.0,0.85
20261103,Target-exact-full-2,exact,full,0.3,22,298,1.0,0.85
20261103,Target-exact-full-2,exact,full,0.3,23,570,1.0,0.8499999999999999
20261103,Target-exact-full-2,exact,full,0.3,24,574,1.0,0.8499999999999999
20261103,Target-exact-full-2,exact,full,0.3,25,578,1.0,0.8499999999999999
20261103,Target-exact-full-2,exact,full,0.3,26,582,1.0,0.8499999999999999
20261103,Target-exact-full-2,exact,full,0.3,27,586,1.0,0.8499999999999999
20261103,Target-exact-full-2,exact,full,0.3,28,588,1.0,0.8499999999999999
20261103,Target-exact-full-2,exact,full,0.3,29,590,1.0,0.8499999999999999
20261103,Target-exact-full-2,exact,full,0.3,30,592,1.0,0.8499999999999999
20261103,Target-exact-full-2,exact,full,0.3,31,594,1.0,0.8499999999999999
20261103,Target-exact-full-2,exact,full,0.3,32,596,1.0,0.8499999999999999
20261103,Target-exact-full-2,exact,full,0.3,33,598,1.0,0.8499999999999999
20261103,Target-exact-full-2,exact,full,0.3,34,397,1.0,0.8488436804772853
20261103,Target-exact-full-2,exact,full,0.3,35,513,1.0,0.8390267467472559
20261103,Target-exact-full-2,exact,full,0.3,36,399,1.0,0.653061125806093
20261103,Target-exact-full-2,exact,full,0.3,37,290,1.0,0.6375
20261103,Target-exact-full-2,exact,full,0.3,38,391,1.0,0.6375
20261103,Target-exact-full-2,exact,full,0.3,39,491,0.9999999999999999,0.9801745608643854
20261103,Target-exact-full-2,exact,full,0.3,40,499,1.0,0.9758434635954469
20261103,Target-exact-full-2,exact,full,0.3,41,475,1.0,0.9757220478848734
