subgroup,value,method,budget,seed_target_units,evaluable_units,mean_event_count,mean_event_prevalence,mean_critical_recall
regime,benign,Mining,30,90,0,0.0,0.0,nan
regime,benign,Mining,50,90,0,0.0,0.0,nan
regime,benign,Mining-DETOUR,10,90,0,0.0,0.0,nan
regime,benign,Mining-DETOUR,20,90,0,0.0,0.0,nan
regime,benign,Mining-DETOUR,30,90,0,0.0,0.0,nan
regime,benign,Mining-DETOUR,50,90,0,0.0,0.0,nan
regime,benign,AdaTE Global,10,90,0,0.0,0.0,nan
regime,benign,AdaTE Global,20,90,0,0.0,0.0,nan
regime,benign,AdaTE Global,30,90,0,0.0,0.0,nan
regime,benign,AdaTE Global,50,90,0,0.0,0.0,nan
regime,benign,Function-Conditioned Mining,10,90,0,0.0,0.0,nan
regime,benign,Function-Conditioned Mining,20,90,0,0.0,0.0,nan
regime,benign,Function-Conditioned Mining,30,90,0,0.0,0.0,nan
regime,benign,Function-Conditioned Mining,50,90,0,0.0,0.0,nan
regime,benign,Posterior Search (adaptive support),10,90,0,0.0,0.0,nan
regime,benign,Posterior Search (adaptive support),20,90,0,0.0,0.0,nan
regime,benign,Posterior Search (adaptive support),30,90,0,0.0,0.0,nan
regime,benign,Posterior Search (adaptive support),50,90,0,0.0,0.0,nan
regime,boundary,Random,10,90,90,32.15555555555556,0.35728395061728396,0.01604911495403767
regime,boundary,Random,20,90,90,32.15555555555556,0.35728395061728396,0.03223997125952812
regime,boundary,Random,30,90,90,32.15555555555556,0.35728395061728396,0.048494696463082125
regime,boundary,Random,50,90,90,32.15555555555556,0.35728395061728396,0.08234535493436466
regime,boundary,DETOUR,10,90,90,32.15555555555556,0.35728395061728396,0.08254276794318112
regime,boundary,DETOUR,20,90,90,32.15555555555556,0.35728395061728396,0.19814097802268943
regime,boundary,DETOUR,30,90,90,32.15555555555556,0.35728395061728396,0.24236679024026028
regime,boundary,DETOUR,50,90,90,32.15555555555556,0.35728395061728396,0.3631361656485419
regime,boundary,Mining,10,90,90,32.15555555555556,0.35728395061728396,0.016009052973415445
regime,boundary,Mining,20,90,90,32.15555555555556,0.35728395061728396,0.1226073238358871
regime,boundary,Mining,30,90,90,32.15555555555556,0.35728395061728396,0.21714243135276384
regime,boundary,Mining,50,90,90,32.15555555555556,0.35728395061728396,0.3532349528290914
regime,boundary,Mining-DETOUR,10,90,90,32.15555555555556,0.35728395061728396,0.016206016381760963
regime,boundary,Mining-DETOUR,20,90,90,32.15555555555556,0.35728395061728396,0.12188570347479806
regime,boundary,Mining-DETOUR,30,90,90,32.15555555555556,0.35728395061728396,0.2174063316166641
regime,boundary,Mining-DETOUR,50,90,90,32.15555555555556,0.35728395061728396,0.3538563593130793
regime,boundary,AdaTE Global,10,90,90,32.15555555555556,0.35728395061728396,0.0996181682899634
regime,boundary,AdaTE Global,20,90,90,32.15555555555556,0.35728395061728396,0.20260661804979135
regime,boundary,AdaTE Global,30,90,90,32.15555555555556,0.35728395061728396,0.2562870628941685
regime,boundary,AdaTE Global,50,90,90,32.15555555555556,0.35728395061728396,0.4377148248442586
regime,boundary,Function-Conditioned Mining,10,90,90,32.15555555555556,0.35728395061728396,0.04916735997092666
regime,boundary,Function-Conditioned Mining,20,90,90,32.15555555555556,0.35728395061728396,0.1875665167897281
regime,boundary,Function-Conditioned Mining,30,90,90,32.15555555555556,0.35728395061728396,0.25199141162139765
regime,boundary,Function-Conditioned Mining,50,90,90,32.15555555555556,0.35728395061728396,0.3930476790888312
regime,boundary,Posterior Search (adaptive support),10,90,90,32.15555555555556,0.35728395061728396,0.044647406879644365
regime,boundary,Posterior Search (adaptive support),20,90,90,32.15555555555556,0.35728395061728396,0.15349600236824038
regime,boundary,Posterior Search (adaptive support),30,90,90,32.15555555555556,0.35728395061728396,0.23888836039100686
regime,boundary,Posterior Search (adaptive support),50,90,90,32.15555555555556,0.35728395061728396,0.42277458918591204
regime,outside,Random,10,90,90,48.044444444444444,0.5338271604938272,0.016176825165353473
regime,outside,Random,20,90,90,48.044444444444444,0.5338271604938272,0.03302283882060266
regime,outside,Random,30,90,90,48.044444444444444,0.5338271604938272,0.050840778708349875
regime,outside,Random,50,90,90,48.044444444444444,0.5338271604938272,0.083839318180971
regime,outside,DETOUR,10,90,90,48.044444444444444,0.5338271604938272,0.07661559649727476
regime,outside,DETOUR,20,90,90,48.044444444444444,0.5338271604938272,0.1366911056225883
regime,outside,DETOUR,30,90,90,48.044444444444444,0.5338271604938272,0.21800804645689043
regime,outside,DETOUR,50,90,90,48.044444444444444,0.5338271604938272,0.29773766676803926
regime,outside,Mining,10,90,90,48.044444444444444,0.5338271604938272,0.0021495390159051255
regime,outside,Mining,20,90,90,48.044444444444444,0.5338271604938272,0.1056742872124544
regime,outside,Mining,30,90,90,48.044444444444444,0.5338271604938272,0.198027764282548
regime,outside,Mining,50,90,90,48.044444444444444,0.5338271604938272,0.37969888625334314
regime,outside,Mining-DETOUR,10,90,90,48.044444444444444,0.5338271604938272,0.0028097736200681776
regime,outside,Mining-DETOUR,20,90,90,48.044444444444444,0.5338271604938272,0.10655158768596051
regime,outside,Mining-DETOUR,30,90,90,48.044444444444444,0.5338271604938272,0.1986568444189657
regime,outside,Mining-DETOUR,50,90,90,48.044444444444444,0.5338271604938272,0.3836432047880401
regime,outside,AdaTE Global,10,90,90,48.044444444444444,0.5338271604938272,0.13006552705966662
regime,outside,AdaTE Global,20,90,90,48.044444444444444,0.5338271604938272,0.2017304980851894
regime,outside,AdaTE Global,30,90,90,48.044444444444444,0.5338271604938272,0.27980398390190964
regime,outside,AdaTE Global,50,90,90,48.044444444444444,0.5338271604938272,0.4128668988923245
regime,outside,Function-Conditioned Mining,10,90,90,48.044444444444444,0.5338271604938272,0.15196640689703456
regime,outside,Function-Conditioned Mining,20,90,90,48.044444444444444,0.5338271604938272,0.2275154940138141
regime,outside,Function-Conditioned Mining,30,90,90,48.044444444444444,0.5338271604938272,0.2972686589127808
regime,outside,Function-Conditioned Mining,50,90,90,48.044444444444444,0.5338271604938272,0.4384375548157894
regime,outside,Posterior Search (adaptive support),10,90,90,48.044444444444444,0.5338271604938272,0.15986128079149872
regime,outside,Posterior Search (adaptive support),20,90,90,48.044444444444444,0.5338271604938272,0.25515515620620177
regime,outside,Posterior Search (adaptive support),30,90,90,48.044444444444444,0.5338271604938272,0.3622269577148233
regime,outside,Posterior Search (adaptive support),50,90,90,48.044444444444444,0.5338271604938272,0.585242529440294
